"name","birthdate","species"
"Rowena","2010-03-18T04:54:01.485Z","bird"
"Eula","2001-07-06T21:42:40.746Z","cat"
"Forbes","2002-12-24T16:47:00.319Z","bird"
"Dianne","2005-02-24T09:05:52.703Z","dog"
"Padilla","2019-09-29T15:23:39.903Z","cat"
"Mosley","2003-06-27T08:16:30.595Z","dog"
"Everett","2009-05-26T12:11:02.965Z","dog"
"Benita","2013-12-10T07:32:41.985Z","dog"
"Duran","2006-10-15T13:18:39.688Z","dog"
"Gregory","2010-04-30T04:05:56.971Z","bird"
"Hodge","2003-05-25T22:08:40.630Z","dog"
"Long","2014-03-16T03:33:39.609Z","dog"
"Gallegos","2007-08-26T12:21:05.125Z","bird"
"Bartlett","2005-12-10T07:03:43.393Z","cat"
"Downs","2004-06-14T11:38:10.379Z","bird"
"Angie","2011-11-04T14:11:58.484Z","cat"
"Pearl","2009-07-16T05:35:31.905Z","dog"
"Beverley","2006-08-29T08:42:12.609Z","cat"
"Sargent","2005-11-09T22:56:59.283Z","cat"
"Angelica","2009-02-23T05:07:11.378Z","cat"
"Adrienne","2008-06-24T06:45:04.561Z","bird"
"Deleon","2009-04-20T04:42:21.158Z","cat"
"Margery","2016-06-14T20:02:22.569Z","bird"
"Keith","2006-04-02T01:48:29.367Z","dog"
"Celeste","2009-01-27T11:47:37.819Z","dog"
"Winifred","2013-01-25T12:31:28.619Z","dog"
"Fox","2011-11-16T15:47:52.546Z","cat"
"Alisha","2009-01-26T13:33:08.362Z","dog"
"Raquel","2011-11-08T18:39:01.726Z","bird"
"Schroeder","2017-01-15T23:48:08.766Z","bird"
"Brown","2014-03-16T02:13:17.993Z","dog"
"Mccoy","2002-01-05T10:32:33.991Z","bird"
"Lee","2016-05-05T09:48:55.854Z","bird"
"Lindsay","2016-01-06T19:55:52.731Z","cat"
"Slater","2001-03-30T13:23:08.427Z","dog"
"Holland","2019-04-06T18:37:48.609Z","bird"
"Mccormick","2007-06-18T03:43:57.501Z","cat"
"Loretta","2012-12-21T13:34:02.975Z","dog"
"Evangelina","2000-07-22T13:37:02.272Z","cat"
"Gilbert","2005-09-18T18:35:03.509Z","dog"
"Doreen","2012-09-21T04:20:51.967Z","cat"
"Sadie","2005-12-10T01:42:57.768Z","cat"
"Rena","2018-04-05T00:17:37.863Z","bird"
"Kathryn","2013-03-15T13:46:55.646Z","cat"
"Allen","2005-10-15T04:41:05.496Z","dog"
"Skinner","2010-05-15T11:20:49.535Z","cat"
"Shelia","2008-11-18T03:38:52.198Z","bird"
"Stewart","2004-06-24T15:34:49.613Z","dog"
"Madeline","2008-11-03T01:28:52.686Z","bird"
"Mallory","2017-05-22T15:24:25.785Z","bird"
